parentUUID,rawTitle,cleanTitle,secondaryLanguageTitle,totalHoursWatched,imdbMatchedTitle,imdbMatchConfidence,imdbLink,imdbGenres,imdbType,imdbUserRating,imdbNumRatings,directorCount,writerCount,castCount,producerCount,composerCount,cinematographerCount,editorCount,castingDirectorCount,artDirectorCount,setDecoratorCount,costumeDesignerCount,makeUpDepartmentCount,productionManagerCount,assistantDirectorCount,artDepartmentCount,soundDepartmentCount,stuntsCount,cameraDepartmentCount,costumeDepartmentCount,editorialDepartmentCount,musicDepartmentCount,scriptDepartmentCount,miscellaneousCrewCount
1f6d346a-3536-465d-a996-9938d43d7d4f,The Yukon Assignment,The Yukon Assignment,,100000,The Yukon Assignment,100,https://www.imdb.com/title/tt6096166/,"Documentary, Adventure",Film,6.6,447,1,,2,1,1,,1,,,,,,,,,1,,,,2,,,
9863aacd-3ae3-41bf-bc42-b7d6bd0d6e69,These Foolish Things,These Foolish Things,,100000,These Foolish Things,100,https://www.imdb.com/title/tt0439848/,"Comedy, Drama, Romance",Film,5.4,576,1,2,47,9,1,1,2,1,1,,1,4,6,4,16,12,3,18,4,5,9,1,32
78a934ca-3488-4531-8b67-dda687d5519c,They’ll Love Me When I’m Dead,They’ll Love Me When I’m Dead,,100000,They'll Love Me When I'm Dead,93.1,https://www.imdb.com/title/tt6893836/,"Documentary, Biography",Film,7.4,5.4K,1,,79,15,1,13,2,1,,,1,1,1,,2,29,,8,,6,7,,14
b92a294a-ddc1-4f72-9b8c-feffb103e142,This Is the Night,This Is the Night,,100000,This Is the Night,100,https://www.imdb.com/title/tt7743120/,"Comedy, Drama",Film,5.5,860,1,1,67,7,1,1,2,2,1,1,1,8,3,6,13,12,21,14,5,7,10,,24
370da99e-1900-48ba-8f1a-a256bbc08833,Thick As Thieves // Pappa e ciccia,Thick As Thieves,,100000,Thick as Thieves,100,https://www.imdb.com/title/tt1112782/,"Action, Crime, Thriller",Film,6.0,36K,1,1,38,12,1,1,1,3,2,1,1,16,7,11,148,23,15,79,18,21,14,2,109
c7374da8-2faa-43ed-bde9-bc0da94b5eb3,Thomas & Friends: Marvelous Machinery: A New Arrival,Thomas & Friends: Marvelous Machinery: A New Arrival,,100000,Thomas & Friends: Marvelous Machinery: A New Arrival,94.23,https://www.imdb.com/title/tt14594718/,Animation,Film,N/A,N/A,1,3,16,3,,,,,,,,,5,,,,,,,,,,5
eb473deb-09ab-4e13-8003-273f8e59ef05,Thoroughbreds,Thoroughbreds,,100000,Thoroughbreds,100,https://www.imdb.com/title/tt5649108/,"Comedy, Crime, Drama",Film,6.6,46K,1,1,24,10,1,1,1,2,,2,1,2,2,4,15,10,1,16,3,5,8,2,26
2bb22b15-8bc1-4e79-8f0b-5ab7e357e428,TIGER-TEAM - DER BERG DER 1000 DRACHEN,TIGER-TEAM - DER BERG DER 1000 DRACHEN,,100000,Tiger Team - Der Berg der 1000 Drachen,94.74,https://www.imdb.com/title/tt1463208/,"Adventure, Family",Film,4.7,150,1,3,62,12,2,1,2,2,2,1,1,4,10,5,9,11,1,15,4,2,,2,9
659ce6f0-b159-4037-85d6-99af53fba181,Through Night and Day,Through Night and Day,,100000,Through Night and Day,100,https://www.imdb.com/title/tt9279666/,"Comedy, Romance",Film,7.1,299,1,3,33,11,1,1,1,,1,,,1,,1,3,15,,17,4,16,5,1,114
cbf48745-9802-4089-be89-9eb17d84b8c5,Til Death Do Us Part: Season 1 // 驚悚劇場: 第 1 季 // 惊悚剧场: 第 1 季,Til Death Do Us Part,,100000,Til Death Do Us Part,100,https://www.imdb.com/title/tt27047448/,"Action, Comedy, Horror",Film,4.0,4.4K,1,2,18,11,1,1,1,,,,1,2,,1,1,2,2,1,,1,,2,2
b0d459b3-2a3c-4006-b700-a9f51d3a3792,Tie Me Up! Tie Me Down! // ¡Átame!,Tie Me Up! Tie Me Down!,,100000,Tie Me Up! Tie Me Down!,91.3,https://www.imdb.com/title/tt0101026/,"Comedy, Crime, Drama",Film,7.0,32K,1,2,29,2,1,1,1,,1,,1,5,6,3,13,8,4,15,2,6,1,1,16
